company_id,company_name,job_postings
53345529,Liberty Healthcare and Rehabilitation Services,1108
167757,The Job Network,1003
73013724,J. Galt,604
2152,TEKsystems,529
4128,"Lowe's Companies, Inc.",527
3175,Ingersoll Rand,517
1419,Capital One,496
163139,Cogent Communications,476
11056,Insight Global,418
6849,Dice,415
1235,Wells Fargo,388
12446,Circle K,381
1586,Amazon,343
2300,Macy's,333
10425374,"Millennium Recruiting, Inc.",329
14352,Solomon Page,326
4787,Apex Systems,325
22503,VolunteerMatch,322
3706049,CareerStaff Unlimited,319
4592,SKF Group,318
9185,Advance Auto Parts,303
11009726,RightWorks,288
163761,Family Dollar,288
7795,Petco,281
164880,Maxim Healthcare Staffing,278
2204084,Talentify.io,276
20573,Life Care Centers of America,272
101478385,A Hiring Company,271
96139831,DataAnnotation,265
457885,MedPro Healthcare Staffing,265
72483,Aimbridge Hospitality,258
1103,Verizon,256
1681,Robert Half,250
265869,Trinity Health,242
6487,DaVita Kidney Care,231
1506196,Health Carousel Nursing & Allied Health,230
2379156,Energy Jobline,226
5235,LHH,224
3081,Thermo Fisher Scientific,218
18613,Dollar Tree Stores,213
157353,Whole Foods Market,211
10638654,Ciena Healthcare,210
10769,CHRISTUS Health,207
18860134,Jobot,204
72610772,Connected Health Care,199
12727,Food Lion,195
102146714,SimplyApply,193
89520,Caliber Collision,193
1353,Tata Consultancy Services,186
1358653,TravelNurseSource,183
166572,Ulta Beauty,181
5887,Motion Recruitment,179
315817,Republic Services,175
35647080,Staples Stores,175
164159,H-E-B,174
11229,Vaco,172
1007957,ClearanceJobs,172
808034,Aya Healthcare,172
4411,DNV,170
1668,FedEx Ground,168
49041,Five Below,167
3671,H&R Block,165
1123,Bank of America,164
65294553,Brightpath Associates LLC,163
18425303,Spectrum,161
7064,Mercy,161
164414,Intermountain Health,159
2203697,Experis,157
307494,"Securitas Security Services USA, Inc.",156
2615835,Piper Companies,155
2396310,Randstad USA,155
248184,Creative Financial Staffing (CFS),154
1431,PepsiCo,152
3460,UPMC,151
28978143,Beth Israel Lahey Health,150
4060,Cushman & Wakefield,146
79383535,Akkodis,146
164664,Labcorp,142
71904349,Actalent,142
4501,USAA,140
25522,Ochsner Health,140
5240076,myGwork - LGBTQ+ Business Community,140
3498,Safeway,138
1286891,W3Global,138
21337,NYC Health + Hospitals,138
10778,Rent-A-Center,136
1211063,National Staffing Solutions,134
28923,Harbor Freight Tools,134
3626,HCA Healthcare,133
37486,Greystar,132
81886402,CenterWell Home Health,131
7556,Sam's Club,131
7412,AutoZone,131
30498,Claire's,130
79098,Allied OneSource,129
21836,CyberCoders,128
33242739,Confidential,128
96180361,"Bridgestone Retail Operations, LLC",128
713845,Harmony Public Schools,127
147875,Protouch Staffing,127
90398003,Swooped,126
3379,Nordstrom,125
5045,Cintas,125
3677,Edward Jones,124
19472,BAYADA Home Health Care,123
51664810,Theoria Medical,123
5756,Penske Truck Leasing,123
61400,The Reserves Network,122
12192,Safelite,122
166209,Sutter Health,120
