industry_id,industry_name,job_count
14,Hospitals and Health Care,17728
27,Retail,10712
96,IT Services and IT Consulting,10012
104,Staffing and Recruiting,8249
43,Financial Services,7926
4,Software Development,4834
25,Manufacturing,3517
48,Construction,3285
41,Banking,2742
42,Insurance,2562
31,Hospitality,2406
15,Pharmaceutical Manufacturing,2392
44,Real Estate,2305
8,Telecommunications,2071
135,Industrial Machinery Manufacturing,2020
100,Non-profit Organizations,2019
12,Biotechnology Research,1942
53,Motor Vehicle Manufacturing,1920
34,Food and Beverage Services,1856
80,Advertising Services,1834
11,Business Consulting and Services,1772
47,Accounting,1680
68,Higher Education,1661
17,Medical Equipment Manufacturing,1579
6,"Technology, Information and Internet",1503
75,Government Administration,1503
124,Wellness and Fitness Services,1466
1,Defense and Space Manufacturing,1444
116,"Transportation, Logistics, Supply Chain and Storage",1402
23,Food and Beverage Manufacturing,1362
19,Retail Apparel and Fashion,1331
51,Civil Engineering,1327
112,"Appliances, Electrical, and Electronics Manufacturing",1279
13,Medical Practices,1218
84,Information Services,1162
57,Oil and Gas,1146
86,Environmental Services,1140
1594,"Technology, Information and Media",1139
9,Law Practice,1072
59,Utilities,1005
52,Aviation and Aerospace Component Manufacturing,987
54,Chemical Manufacturing,954
32,Restaurants,952
49,Wholesale Building Materials,941
69,Education Administration Programs,920
92,Truck Transportation,918
118,Computer and Network Security,913
28,Entertainment Providers,896
3242,Engineering Services,891
46,Investment Management,881
10,Legal Services,869
91,Consumer Services,816
139,Mental Health Care,810
137,Human Resources Services,806
70,Research Services,708
122,Facilities Services,615
3231,Information Technology & Services,610
45,Investment Banking,596
90,Civic and Social Organizations,574
55,Machinery Manufacturing,551
67,Primary and Secondary Education,551
133,Wholesale,535
94,Airlines and Aviation,526
146,Packaging and Containers Manufacturing,523
50,Architecture and Planning,520
7,Semiconductor Manufacturing,492
147,Automation Machinery Manufacturing,471
1862,Marketing Services,460
121,Security and Investigations,456
1810,Professional Services,450
88,Individual and Family Services,450
16,Veterinary Services,413
99,Design Services,387
3,Computer Hardware Manufacturing,375
78,Public Safety,367
3243,Services for Renewable Energy,338
