job_id,title,location,formatted_experience_level,pay_period,currency,compensation_type,min_salary,med_salary,max_salary,annual_salary,salary_range
921716,Marketing Coordinator,"Princeton, NJ",,HOURLY,USD,BASE_SALARY,17.0,,20.0,,3.0
10998357,Assitant Restaurant Manager,"Cincinnati, OH",,YEARLY,USD,BASE_SALARY,45000.0,,65000.0,,20000.0
23221523,Senior Elder Law / Trusts and Estates Associate Attorney,"New Hyde Park, NY",,YEARLY,USD,BASE_SALARY,140000.0,,175000.0,,35000.0
91700727,Economic Development and Planning Intern,"Raleigh, NC",,HOURLY,USD,BASE_SALARY,14.0,,20.0,,6.0
103254301,Producer,United States,,YEARLY,USD,BASE_SALARY,60000.0,,300000.0,,240000.0
2264355,Worship Leader,"Palm Bay, FL",,MONTHLY,USD,BASE_SALARY,,350.0,,4200.0,
95428182,Administrative Coordinator,"Cleveland, OH",,HOURLY,USD,BASE_SALARY,,25.0,,52000.0,
3830297838,Financial Reporting Senior Specialist,"Philadelphia, PA",,YEARLY,USD,BASE_SALARY,77000.0,,85000.0,,8000.0
3830313052,Field Service Technician (Residential ESS),United States,,MONTHLY,USD,BASE_SALARY,4000.0,,8000.0,,4000.0
229924287,Administrative Assistant,"Woburn, MA",,HOURLY,USD,BASE_SALARY,,23.0,,47840.0,
3884430605,Store Manager,"Avon, IN",Entry level,YEARLY,USD,BASE_SALARY,72000.0,,100000.0,,28000.0
266566927,Marketing & Office Coordinator,"Denver, CO",,YEARLY,USD,BASE_SALARY,55000.0,,75000.0,,20000.0
266825034,Software Support Specialist,"McLean, VA",,YEARLY,USD,BASE_SALARY,60000.0,,65000.0,,5000.0
280496925,Coordinator for Multicultural Student Organizations,"Pullman, WA",,MONTHLY,USD,BASE_SALARY,4061.0,,4817.0,,756.0
445337908,Chief Operating Officer,"Anchorage, AK",,YEARLY,USD,BASE_SALARY,90000.0,,110000.0,,20000.0
606178500,Associate Attorney,"Kailua-Kona, HI",,YEARLY,USD,BASE_SALARY,105000.0,,135000.0,,30000.0
705356075,TREC licensed Professional Home Inspector,Dallas-Fort Worth Metroplex,,HOURLY,USD,BASE_SALARY,24.0,,28.0,,4.0
1014822088,Marketing Specialist,United States,,YEARLY,USD,BASE_SALARY,70000.0,,80000.0,,10000.0
1093227543,Sales Associate Natural Food Products,"Miami, FL",,YEARLY,USD,BASE_SALARY,60000.0,,120000.0,,60000.0
1448163866,Office Manager,"Chino, CA",,YEARLY,USD,BASE_SALARY,65000.0,,70000.0,,5000.0
1826257634,Social Security Specialist / Retirement Benefit Advisor (Remote),"Colorado, United States",,HOURLY,USD,BASE_SALARY,19.0,,25.0,,6.0
2147609712,Med-RN ER,"Murrieta, CA",,HOURLY,USD,BASE_SALARY,,56.41,,117332.80,
2147609766,Sales Representative,"Ogden, UT",,YEARLY,USD,BASE_SALARY,70000.0,,150000.0,,80000.0
