title,num_postings,avg_min_salary,avg_med_salary,avg_max_salary,avg_annual_salary
Secret Shopper ,1,,600.0000000000000000,,1248000.000000000000
Senior Sales Account Executive - Enterprise,1,,750000.000000000000,,750000.000000000000
Oral Surgeon - DDS/DMD,1,,750000.000000000000,,750000.000000000000
Orthopedic Surgeon,1,,680000.000000000000,,680000.000000000000
Medical Consultant,1,,300.0000000000000000,,624000.000000000000
Hematology / Oncology,1,,550000.000000000000,,550000.000000000000
Non-Invasive Cardiology Physician,1,,541000.000000000000,,541000.000000000000
"Stanford Cardiology, Electrophysiology",1,,525000.000000000000,,525000.000000000000
Endocrinologist / Obesity Medicine Specialist,1,,250.0000000000000000,,520000.000000000000
Regional Director Design - Architecture,1,,500000.000000000000,,500000.000000000000
Physician - ENT-Otolaryngology,1,,500000.000000000000,,500000.000000000000
"Underwriting Technician, National Accounts Casualty",1,,500000.000000000000,,500000.000000000000
Anesthesiologist,1,,500000.000000000000,,500000.000000000000
Otorhinolaryngologist,2,,488668.000000000000,,488668.000000000000
Physician - Gastroenterology,1,,450000.000000000000,,450000.000000000000
Physician - General Surgery,1,,425000.000000000000,,425000.000000000000
Asylum: Evidence Gathering Attorney,1,,200.0000000000000000,,416000.000000000000
Endodontist,1,,200.0000000000000000,,416000.000000000000
"Obstetrics & Gynecology Physician - $400,000/yearly",1,,400000.000000000000,,400000.000000000000
SAP NS2 Cloud Infrastructure Intern- Virtual,1,,400000.000000000000,,400000.000000000000
OB GYN Physician,1,,383000.000000000000,,383000.000000000000
Movement Disorders Neurologist Opportunity with Kaiser Permanente in Baldwin Park,1,,372431.000000000000,,372431.000000000000
Charles George VAMC- Inter. Cardiologist opportunity,1,,370000.000000000000,,370000.000000000000
"Family Practice-Without OB Physician - $/yearly - $370,000/yearly",1,,370000.000000000000,,370000.000000000000
"Internal Medicine Physician - $/yearly - $360,000/yearly",1,,360000.000000000000,,360000.000000000000
Psychiatrist,1,,354897.000000000000,,354897.000000000000
"Dentist- 4 Days/Week, PPO/FFS Office",1,,350000.000000000000,,350000.000000000000
Gastroenterologist,1,,350000.000000000000,,350000.000000000000
"Dentist- 4 Days/Week, PPO/FFS Office - Sign on Bonus!",1,,350000.000000000000,,350000.000000000000
Forensic Psychiatrist,1,,350000.000000000000,,350000.000000000000
Ambulatory Primary Care Physician Leader - Community Health Centers,1,,317358.000000000000,,317358.000000000000
"Family Practice-Without OB Physician - $/yearly - $315,000/yearly",3,,315000.000000000000,,315000.000000000000
Hospital Medicine Medical Director,1,,315000.000000000000,,315000.000000000000
"Director, Strategic Finance - Product",1,,313100.000000000000,,313100.000000000000
"Psychiatric-Mental Health Physician - $312,000/yearly",1,,312000.000000000000,,312000.000000000000
Attorney,1,,148.9700000000000000,,309857.600000000000
Distinguished Software Engineer Cryptography and Data Protection (REMOTE),1,,300500.000000000000,,300500.000000000000
Full-Time Clinic Psychiatrist (PHD),1,,300000.000000000000,,300000.000000000000
Confidential - Chief Financial Officer,1,,300000.000000000000,,300000.000000000000
Chief Compliance Officer- $75 Billion Alternative Asset Manager,1,,300000.000000000000,,300000.000000000000
Physician - Family Medicine with OB,1,,275120.000000000000,,275120.000000000000
"Family Practice-Without OB Physician - $/yearly - $270,000/yearly",1,,270000.000000000000,,270000.000000000000
Radiation Oncology Medical Director - Remote,1,,270000.000000000000,,270000.000000000000
"Manager, IT Ops Process and Metrics",1,,262621.000000000000,,262621.000000000000
"Sales Manager, Finance Cloud",1,,260000.000000000000,,260000.000000000000
Clinical Veterinarian (Consultant) ,1,,125.0000000000000000,,260000.000000000000
"Management Information Specialist, CG-0301-14 (ICTAP)",1,,252500.000000000000,,252500.000000000000
Section Editor - Rheumatology,2,,250000.000000000000,,250000.000000000000
